compl,accel,decel,result,cluster_r,cluster_cr,cluster_ar,cluster_dr,cluster_car,cluster_cdr,cluster_adr,cluster_cadr
3,5,4,94,3,18,7,2,2,1,2,2
1,5,1,27,4,21,13,1,1,2,1,1
1,4,3,42,1,13,15,1,1,2,1,1
1,5,1,24,4,21,13,1,1,2,1,1
4,5,5,75,2,15,5,2,2,1,2,2
1,1,3,25,4,21,2,1,1,2,1,1
3,4,5,45,1,4,20,2,1,1,2,2
5,5,5,91,3,6,11,2,2,1,2,2
3,5,4,83,3,3,5,2,2,1,2,2
1,5,3,46,1,13,21,1,1,2,1,1
2,3,2,30,4,9,16,1,1,2,1,1
3,5,5,95,3,18,7,2,2,1,2,2
5,5,5,100,3,20,7,2,2,1,2,2
3,5,5,79,2,8,5,2,2,1,2,2
4,4,3,91,3,24,19,2,2,1,2,2
4,5,4,89,3,24,11,2,2,1,2,2
3,5,4,59,2,14,18,2,2,1,2,2
4,5,4,85,3,24,11,2,2,1,2,2
5,5,5,90,3,1,11,2,2,1,2,2
3,5,3,92,3,12,11,2,2,1,2,2
5,5,5,99,3,20,7,2,2,1,2,2
3,3,1,35,4,4,16,1,1,2,1,1
5,1,1,32,4,11,2,1,1,2,1,1
1,3,1,38,1,13,8,1,1,2,1,1
1,1,1,23,4,21,2,1,1,2,1,1
2,5,5,45,1,23,21,2,1,2,2,2
4,5,5,70,2,15,5,2,2,1,2,2
5,4,4,90,3,1,19,2,2,1,2,2
5,3,1,94,3,6,4,1,2,1,1,2
5,5,1,31,4,11,13,1,2,2,1,1
3,5,5,91,3,12,11,2,2,1,2,2
3,3,1,56,1,14,10,1,1,2,1,1
1,2,1,24,4,21,6,1,1,2,1,1
3,5,5,87,3,22,11,2,2,1,2,2
3,4,3,68,2,2,22,1,2,1,2,2
1,1,5,53,1,16,12,2,1,2,1,1
1,3,4,50,1,16,10,1,1,2,1,1
5,4,3,62,2,19,23,1,2,1,1,2
5,3,4,89,3,1,4,2,2,1,2,2
2,5,5,60,2,7,18,2,1,1,2,2
5,5,1,31,4,11,13,1,2,2,1,1
1,1,1,24,4,21,2,1,1,2,1,1
1,5,4,43,1,13,21,1,1,2,2,1
5,5,5,98,3,20,7,2,2,1,2,2
4,5,4,88,3,24,11,2,2,1,2,2
1,2,1,24,4,21,6,1,1,2,1,1
3,5,4,74,2,17,5,2,2,1,2,2
3,5,3,62,2,2,18,1,2,1,2,2
5,4,5,99,3,20,19,2,2,1,2,2
2,5,5,68,2,7,18,2,2,1,2,2
5,5,4,91,3,6,11,2,2,1,2,2
5,5,5,98,3,20,7,2,2,1,2,2
1,2,3,25,4,21,6,1,1,2,1,1
3,5,5,76,2,8,5,2,2,1,2,2
1,1,1,25,4,21,2,1,1,2,1,1
1,5,3,31,4,21,13,1,1,2,1,1
4,5,5,96,3,5,7,2,2,1,2,2
1,1,1,28,4,21,2,1,1,2,1,1
2,5,5,68,2,7,18,2,2,1,2,2
5,3,2,67,2,19,14,1,2,1,1,2
4,5,2,89,3,24,11,2,2,1,2,2
1,3,3,40,1,13,8,1,1,2,1,1
1,3,4,50,1,16,10,1,1,2,1,1
5,5,3,82,3,1,5,2,2,1,2,2
1,4,1,27,4,21,15,1,1,2,1,1
3,5,4,81,3,3,5,2,2,1,2,2
2,5,3,43,1,23,21,1,1,2,1,1
1,3,5,49,1,16,10,2,1,2,2,1
5,5,5,90,3,1,11,2,2,1,2,2
1,5,3,32,4,21,13,1,1,2,1,1
5,5,5,92,3,6,11,2,2,1,2,2
4,5,5,89,3,24,11,2,2,1,2,2
2,5,4,48,1,23,21,1,1,2,2,1
1,5,4,39,1,13,21,1,1,2,2,1
4,5,5,99,3,5,7,2,2,1,2,2
3,5,5,93,3,12,7,2,2,1,2,2
1,5,5,58,1,16,18,2,1,2,2,2
1,5,3,46,1,13,21,1,1,2,1,1
3,3,3,75,2,17,14,2,2,1,1,1
1,3,1,31,4,21,16,1,1,2,1,1
1,1,1,24,4,21,2,1,1,2,1,1
4,5,5,94,3,5,7,2,2,1,2,2
4,5,4,89,3,24,11,2,2,1,2,2
3,5,3,82,3,3,5,2,2,1,2,2
4,5,4,81,3,15,5,2,2,1,2,2
1,3,1,31,4,21,16,1,1,2,1,1
5,4,3,62,2,19,23,1,2,1,1,2
3,2,4,68,2,2,1,2,1,1,1,1
3,3,3,74,2,17,14,2,2,1,1,1
5,5,5,98,3,20,7,2,2,1,2,2
1,4,3,30,4,21,15,1,1,2,1,1
5,5,5,87,3,1,11,2,2,1,2,2
3,4,3,73,2,17,22,2,2,1,2,2
2,3,4,53,1,23,10,2,1,2,1,1
4,5,4,89,3,24,11,2,2,1,2,2
3,5,5,82,3,3,5,2,2,1,2,2
4,5,5,77,2,15,5,2,2,1,2,2
4,4,4,97,3,5,19,2,2,1,2,2
3,4,5,90,3,12,19,2,2,1,2,2
5,5,5,95,3,6,7,2,2,1,2,2
5,5,5,94,3,6,7,2,2,1,2,2
3,5,5,87,3,22,11,2,2,1,2,2
1,5,5,28,4,21,13,1,1,2,2,1
2,1,1,24,4,9,2,1,1,2,1,1
4,5,4,89,3,24,11,2,2,1,2,2
3,3,5,66,2,2,14,2,1,1,2,2
1,5,1,24,4,21,13,1,1,2,1,1
5,5,4,76,2,19,5,2,2,1,2,2
4,4,3,91,3,24,19,2,2,1,2,2
1,4,3,42,1,13,15,1,1,2,1,1
3,5,4,74,2,17,5,2,2,1,2,2
2,5,4,46,1,23,21,1,1,2,2,1
4,5,5,98,3,5,7,2,2,1,2,2
1,5,5,63,2,16,18,2,1,2,2,2
3,5,3,92,3,12,11,2,2,1,2,2
3,4,5,78,2,8,17,2,2,1,2,2
1,5,3,38,1,13,21,1,1,2,1,1
3,2,5,76,2,8,1,2,1,1,2,2
2,5,5,82,3,10,5,2,2,1,2,2
3,5,3,63,2,2,18,1,2,1,2,2
1,2,1,23,4,21,6,1,1,2,1,1
3,5,5,98,3,18,7,2,2,1,2,2
4,5,2,77,2,15,5,1,2,1,2,2
4,4,4,92,3,24,19,2,2,1,2,2
4,5,5,75,2,15,5,2,2,1,2,2
5,5,5,97,3,20,7,2,2,1,2,2
4,5,5,99,3,5,7,2,2,1,2,2
3,4,3,90,3,12,19,2,2,1,2,2
3,4,5,90,3,12,19,2,2,1,2,2
3,3,3,65,2,2,14,1,1,1,1,1
3,3,1,56,1,14,10,1,1,2,1,1
2,5,3,63,2,7,18,1,1,2,2,1
2,5,3,55,1,23,18,1,1,2,2,1
1,4,4,51,1,16,20,1,1,2,2,1
3,5,5,56,1,14,18,2,2,1,2,2
2,5,3,41,1,23,21,1,1,2,1,1
2,4,3,41,1,23,15,1,1,2,1,1
3,4,3,49,1,4,20,1,1,2,1,1
3,5,5,82,3,3,5,2,2,1,2,2
5,5,5,95,3,6,7,2,2,1,2,2
5,3,4,92,3,6,4,2,2,1,2,2
5,1,5,94,3,6,3,2,2,1,2,2
4,5,5,97,3,5,7,2,2,1,2,2
1,3,2,33,4,21,16,1,1,2,1,1
4,5,5,95,3,5,7,2,2,1,2,2
1,1,1,23,4,21,2,1,1,2,1,1
3,5,5,93,3,12,7,2,2,1,2,2
3,5,3,73,2,17,5,2,2,1,2,2
2,5,5,48,1,23,21,2,1,2,2,2
5,5,5,94,3,6,7,2,2,1,2,2
3,5,4,81,3,3,5,2,2,1,2,2
5,5,5,99,3,20,7,2,2,1,2,2
3,5,5,97,3,18,7,2,2,1,2,2
2,4,3,63,2,7,23,1,1,2,1,1
3,4,3,73,2,17,22,2,2,1,2,2
5,3,3,95,3,6,4,2,2,1,2,2
3,5,5,94,3,18,7,2,2,1,2,2
3,5,5,92,3,12,11,2,2,1,2,2
2,4,3,53,1,23,20,1,1,2,1,1
5,5,5,94,3,6,7,2,2,1,2,2
1,3,1,31,4,21,16,1,1,2,1,1
1,3,3,25,4,21,9,1,1,2,1,1
1,5,3,31,4,21,13,1,1,2,1,1
3,5,3,76,2,8,5,2,2,1,2,2
4,4,4,91,3,24,19,2,2,1,2,2
2,3,1,29,4,9,16,1,1,2,1,1
3,5,5,93,3,12,7,2,2,1,2,2
1,5,5,28,4,21,13,1,1,2,2,1
3,5,5,77,2,8,5,2,2,1,2,2
5,5,3,95,3,6,7,2,2,1,2,2
1,2,3,25,4,21,6,1,1,2,1,1
5,5,5,88,3,1,11,2,2,1,2,2
3,3,5,43,1,4,8,2,1,1,1,1
5,5,3,85,3,1,11,2,2,1,2,2
2,5,3,43,1,23,21,1,1,2,1,1
3,4,3,80,2,3,17,2,2,1,2,2
3,5,5,89,3,22,11,2,2,1,2,2
3,3,5,66,2,2,14,2,1,1,2,2
1,4,3,38,1,13,15,1,1,2,1,1
1,5,5,45,1,13,21,2,1,2,2,1
4,5,5,88,3,24,11,2,2,1,2,2
5,5,5,92,3,6,11,2,2,1,2,2
